행정구역별,유형별,항목,단위,2020 년,2021 년,2022 년,2023 년,2024 년
서울특별시,주택유형,동(호)수[동(호)수],동(호)수,273895,193003,97102,120328,135066
서울특별시,주택유형,면적[천㎡],천㎡,19372,13350,6337,7981,9222
서울특별시,단독주택,동(호)수[동(호)수],동(호)수,15974,11767,6622,3573,4090
서울특별시,단독주택,면적[천㎡],천㎡,2599,1967,1150,586,618
서울특별시,다가구주택,동(호)수[동(호)수],동(호)수,5684,4829,2798,1563,1874
서울특별시,다가구주택,면적[천㎡],천㎡,1308,1143,675,348,410
서울특별시,다세대주택,동(호)수[동(호)수],동(호)수,75959,75104,41918,27993,33820
서울특별시,다세대주택,면적[천㎡],천㎡,3299,3146,1717,1152,1384
서울특별시,연립주택,동(호)수[동(호)수],동(호)수,9431,7655,4557,3277,3980
서울특별시,연립주택,면적[천㎡],천㎡,643,483,273,210,251
서울특별시,아파트,동(호)수[동(호)수],동(호)수,166847,93648,41207,83922,91302
서울특별시,아파트,면적[천㎡],천㎡,11523,6611,2521,5685,6559
종로구,매입자거주지,동(호)수[동(호)수],동(호)수,3284,2770,1398,1126,1415
종로구,매입자거주지,면적[천㎡],천㎡,263,219,116,96,115
종로구,관할 시군구내,동(호)수[동(호)수],동(호)수,1025,832,498,453,532
종로구,관할 시군구내,면적[천㎡],천㎡,91,71,47,41,46
종로구,관할 시도내,동(호)수[동(호)수],동(호)수,1491,1311,581,415,536
종로구,관할 시도내,면적[천㎡],천㎡,118,97,46,36,45
종로구,관할 시도외 서울,동(호)수[동(호)수],동(호)수,0,0,0,0,0
종로구,관할 시도외 서울,면적[천㎡],천㎡,0,0,0,0,0
종로구,관할 시도외 기타,동(호)수[동(호)수],동(호)수,768,627,319,258,347
종로구,관할 시도외 기타,면적[천㎡],천㎡,54,50,23,19,24
종로구,거래주체,동(호)수[동(호)수],동(호)수,3284,2770,1398,1126,1415
종로구,거래주체,면적[천㎡],천㎡,263,219,116,96,115
종로구,개인->개인,동(호)수[동(호)수],동(호)수,2742,2093,1117,975,1223
종로구,개인->개인,면적[천㎡],천㎡,213,166,85,83,98
종로구,개인->법인,동(호)수[동(호)수],동(호)수,207,233,90,47,41
종로구,개인->법인,면적[천㎡],천㎡,20,25,14,8,6
종로구,개인->기타,동(호)수[동(호)수],동(호)수,34,28,8,42,45
종로구,개인->기타,면적[천㎡],천㎡,2,3,1,1,3
종로구,법인->개인,동(호)수[동(호)수],동(호)수,254,325,136,39,74
종로구,법인->개인,면적[천㎡],천㎡,22,18,11,3,6
종로구,법인->법인,동(호)수[동(호)수],동(호)수,18,13,26,18,11
종로구,법인->법인,면적[천㎡],천㎡,2,3,4,1,1
종로구,법인->기타,동(호)수[동(호)수],동(호)수,1,43,0,0,1
종로구,법인->기타,면적[천㎡],천㎡,0,1,0,0,0
종로구,기타->개인,동(호)수[동(호)수],동(호)수,20,10,7,3,18
종로구,기타->개인,면적[천㎡],천㎡,2,1,1,0,2
종로구,기타->법인,동(호)수[동(호)수],동(호)수,4,5,2,0,0
종로구,기타->법인,면적[천㎡],천㎡,1,0,0,0,0
종로구,기타->기타,동(호)수[동(호)수],동(호)수,4,20,12,2,2
종로구,기타->기타,면적[천㎡],천㎡,0,1,1,0,0
종로구,거래규모,동(호)수[동(호)수],동(호)수,3284,2770,1398,1126,1415
종로구,거래규모,면적[천㎡],천㎡,263,219,116,96,115
종로구,20㎡이하,동(호)수[동(호)수],동(호)수,281,373,203,116,152
종로구,20㎡이하,면적[천㎡],천㎡,4,6,3,2,2
종로구,21~40㎡,동(호)수[동(호)수],동(호)수,557,606,269,193,201
종로구,21~40㎡,면적[천㎡],천㎡,17,18,9,6,6
종로구,41~60㎡,동(호)수[동(호)수],동(호)수,804,695,346,274,392
종로구,41~60㎡,면적[천㎡],천㎡,42,36,18,14,21
종로구,61~85㎡,동(호)수[동(호)수],동(호)수,882,485,273,229,327
종로구,61~85㎡,면적[천㎡],천㎡,70,37,21,18,26
종로구,86~100㎡,동(호)수[동(호)수],동(호)수,110,76,32,35,47
종로구,86~100㎡,면적[천㎡],천㎡,10,7,3,3,4
종로구,101~135㎡,동(호)수[동(호)수],동(호)수,242,157,65,99,105
종로구,101~135㎡,면적[천㎡],천㎡,28,18,7,11,12
종로구,136~165㎡,동(호)수[동(호)수],동(호)수,138,119,46,69,63
종로구,136~165㎡,면적[천㎡],천㎡,21,18,7,10,9
종로구,166~198㎡,동(호)수[동(호)수],동(호)수,80,68,41,34,33
종로구,166~198㎡,면적[천㎡],천㎡,15,12,7,6,6
종로구,198㎡초과,동(호)수[동(호)수],동(호)수,190,191,123,77,95
종로구,198㎡초과,면적[천㎡],천㎡,57,66,41,25,28
종로구,거래원인,동(호)수[동(호)수],동(호)수,3284,2770,1398,1126,1415
종로구,거래원인,면적[천㎡],천㎡,263,219,116,96,115
종로구,매매,동(호)수[동(호)수],동(호)수,2415,1972,946,918,1224
종로구,매매,면적[천㎡],천㎡,200,172,81,81,100
종로구,판결,동(호)수[동(호)수],동(호)수,13,16,12,7,35
종로구,판결,면적[천㎡],천㎡,1,2,1,1,3
종로구,교환,동(호)수[동(호)수],동(호)수,13,9,14,2,0
종로구,교환,면적[천㎡],천㎡,1,0,1,0,0
종로구,증여,동(호)수[동(호)수],동(호)수,547,475,326,156,136
종로구,증여,면적[천㎡],천㎡,38,33,25,12,11
종로구,분양권,동(호)수[동(호)수],동(호)수,,,,,0
종로구,분양권,면적[천㎡],천㎡,,,,,0
종로구,분양권전매,동(호)수[동(호)수],동(호)수,3,0,0,3,0
종로구,분양권전매,면적[천㎡],천㎡,0,0,0,0,0
종로구,기타,동(호)수[동(호)수],동(호)수,,,,,0
종로구,기타,면적[천㎡],천㎡,,,,,0
종로구,기타소유권이전,동(호)수[동(호)수],동(호)수,293,298,100,40,20
종로구,기타소유권이전,면적[천㎡],천㎡,22,11,8,2,1
종로구,주택유형,동(호)수[동(호)수],동(호)수,3284,2770,1398,1126,1415
종로구,주택유형,면적[천㎡],천㎡,263,219,116,96,115
종로구,단독주택,동(호)수[동(호)수],동(호)수,669,614,403,258,269
종로구,단독주택,면적[천㎡],천㎡,68,77,48,30,26
종로구,다가구주택,동(호)수[동(호)수],동(호)수,76,72,42,38,51
종로구,다가구주택,면적[천㎡],천㎡,18,16,10,9,11
